,SPY,CPA,ORCL
2015-12-09,205.34,48.58,38.58
2015-12-10,205.87,49.72,38.19
2015-12-11,201.88,47.78,37.21
2015-12-14,202.9,46.61,37.65
2015-12-15,205.03,48.0,38.21
2015-12-16,208.03,49.45,38.91
2015-12-17,204.86,48.63,36.93
2015-12-18,200.02,49.3,36.35
2015-12-21,201.67,50.95,36.42
2015-12-22,203.5,51.32,36.59
2015-12-23,206.02,52.52,36.93
2015-12-24,205.68,53.44,37.01
2015-12-28,205.21,48.98,36.79
2015-12-29,207.4,49.47,37.04
2015-12-30,205.93,48.2,36.92
2015-12-31,203.87,48.26,36.53
2016-01-04,201.02,47.25,35.75
2016-01-04,201.02,47.25,35.75
2016-01-05,201.36,47.5,35.64
2016-01-06,198.82,47.48,35.82
2016-01-07,194.05,45.96,35.04
2016-01-08,191.92,45.32,34.65
2016-01-11,192.11,45.0,34.94
2016-01-12,193.66,44.12,35.37
2016-01-13,188.83,44.59,34.08
2016-01-14,191.93,45.99,34.79
2016-01-15,187.81,46.58,34.12
2016-01-19,188.06,47.13,34.55
2016-01-20,185.65,47.5,33.94
2016-01-21,186.69,47.83,34.12
2016-01-22,190.52,49.45,34.8
2016-01-25,187.64,49.22,34.34
2016-01-26,190.2,51.06,35.23
2016-01-27,188.13,49.71,34.91
2016-01-28,189.11,44.57,35.33
2016-01-29,193.72,47.1,36.31
2016-02-01,193.65,48.94,36.32
2016-02-02,190.16,46.0,35.35
2016-02-03,191.3,47.97,35.69
2016-02-04,191.6,47.96,36.45
2016-02-05,187.95,47.37,35.7
2016-02-08,185.42,47.84,35.61
2016-02-09,185.43,49.44,35.08
2016-02-10,185.27,49.33,35.2
2016-02-11,182.86,48.88,34.84
2016-02-12,186.63,51.31,35.54
2016-02-16,189.78,55.19,35.7
2016-02-17,192.88,53.65,36.63
2016-02-18,192.09,59.96,36.63
2016-02-19,192.0,57.84,36.78
2016-02-22,194.78,59.04,37.11
2016-02-23,192.32,59.98,36.55
2016-02-24,193.2,60.14,36.63
2016-02-25,195.54,59.94,37.29
2016-02-26,195.09,59.71,36.96
2016-02-29,193.56,61.06,36.78
2016-03-01,198.11,61.7,37.99
2016-03-01,198.11,61.7,37.99
2016-03-02,199.0,65.0,37.76
2016-03-03,199.78,65.8,37.89
2016-03-04,200.43,66.94,37.89
2016-03-07,200.59,65.83,38.36
2016-03-08,198.4,64.29,38.15
2016-03-09,199.38,64.11,38.48
2016-03-10,199.54,66.08,38.05
2016-03-11,202.76,65.98,38.95
2016-03-14,202.5,64.91,38.7
2016-03-15,202.17,61.6,38.74
2016-03-16,203.34,66.43,40.22
2016-03-17,204.63,70.45,40.61
2016-03-18,204.38,69.91,41.48
2016-03-21,204.67,69.88,41.61
2016-03-22,204.56,68.9,41.38
2016-03-23,203.21,67.62,40.75
2016-03-24,203.12,65.88,40.97
2016-03-28,203.24,66.44,40.62
2016-03-29,205.12,66.84,40.7
2016-03-30,206.02,66.89,40.97
2016-03-31,205.52,67.75,40.91
2016-04-01,206.92,66.77,41.16
2016-04-04,206.25,66.6,41.07
2016-04-05,204.19,66.08,40.53
2016-04-06,206.42,65.5,40.75
2016-04-07,203.95,63.47,39.97
2016-04-08,204.5,63.57,40.36
2016-04-11,204.02,62.93,40.39
2016-04-12,205.92,63.54,40.42
2016-04-12,205.92,63.54,40.42
2016-04-13,208.0,66.2,41.31
2016-04-14,208.01,65.24,41.24
2016-04-15,207.78,66.07,41.02
2016-04-18,209.24,66.29,41.24
2016-04-19,209.9,68.88,41.06
2016-04-20,210.1,67.3,41.1
2016-04-21,208.97,66.18,40.99
2016-04-22,208.97,65.46,40.7
2016-04-25,208.61,65.42,40.78
2016-04-26,208.92,67.11,40.65
2016-04-27,209.35,67.62,40.85
2016-04-28,207.45,65.03,40.33
2016-04-29,206.33,63.75,39.86
2016-05-02,207.97,63.3,40.3
2016-05-03,206.16,64.1,39.68
2016-05-04,205.01,63.44,39.29
2016-05-05,204.97,62.39,39.23
2016-05-06,205.72,53.56,39.41
2016-05-09,205.89,52.48,39.36
2016-05-10,208.45,54.65,40.02
2016-05-11,206.5,54.3,39.65
2016-05-12,206.56,53.86,39.82
2016-05-13,204.76,52.99,39.61
2016-05-16,206.78,53.94,39.97
2016-05-17,204.85,53.8,39.6
2016-05-18,204.91,53.55,39.47
2016-05-19,204.2,53.66,38.84
2016-05-20,205.49,54.93,39.41
2016-05-23,205.21,54.3,39.18
2016-05-24,207.87,54.03,39.9
2016-05-25,209.28,53.99,40.13
2016-05-26,209.34,51.13,39.95
2016-05-26,209.34,51.13,39.95
2016-05-27,210.24,51.54,40.07
2016-05-31,209.84,51.57,40.2
2016-06-01,210.27,50.97,40.26
2016-06-02,210.91,51.83,38.66
2016-06-03,210.28,52.01,39.1
2016-06-06,211.35,52.95,39.44
2016-06-07,211.68,53.36,39.13
2016-06-08,212.37,53.76,39.28
2016-06-09,212.08,54.68,39.05
2016-06-10,210.07,52.12,38.74
2016-06-13,208.45,52.12,38.62
2016-06-14,208.04,51.1,38.83
2016-06-15,207.75,51.79,38.44
2016-06-16,208.37,51.82,38.64
2016-06-17,206.52,52.09,39.68
2016-06-20,207.85,52.75,39.73
2016-06-21,208.44,54.17,39.99
2016-06-22,208.1,54.36,40.01
2016-06-23,210.81,54.95,40.83
2016-06-24,203.24,53.11,39.23
2016-06-27,199.6,49.43,38.48
2016-06-28,203.2,50.42,39.13
2016-06-29,206.66,51.74,40.55
2016-06-30,209.48,52.26,40.93
2016-07-01,209.92,54.45,40.86
2016-07-01,209.92,54.45,40.86
2016-07-05,208.41,53.44,40.4
2016-07-06,209.66,54.31,40.53
2016-07-07,209.53,54.94,40.53
2016-07-08,212.65,55.25,40.87
2016-07-11,213.4,58.16,40.78
2016-07-12,214.95,62.78,41.42
2016-07-13,214.92,64.29,41.46
2016-07-14,216.12,65.26,41.67
2016-07-15,215.83,65.26,41.77
2016-07-18,216.41,65.91,41.64
2016-07-19,216.19,66.52,41.08
2016-07-20,217.09,67.06,41.25
2016-07-21,216.27,66.1,41.07
2016-07-22,217.24,67.2,41.08
2016-07-25,216.65,66.9,41.16
2016-07-26,216.75,66.87,40.94
2016-07-27,216.52,67.68,40.93
2016-07-28,216.77,67.29,41.19
2016-07-29,217.12,67.0,41.04
2016-08-01,216.94,67.62,41.15
2016-08-02,215.55,64.76,40.71
2016-08-03,216.18,65.66,40.71
2016-08-04,216.41,76.48,40.9
2016-08-05,218.18,74.97,41.13
2016-08-08,218.05,76.47,41.16
2016-08-09,218.18,78.57,41.1
2016-08-10,217.64,78.72,41.09
2016-08-11,218.65,80.01,41.28
2016-08-12,218.46,82.08,41.09
2016-08-15,219.09,82.75,41.39
2016-08-16,217.96,83.45,41.32
2016-08-17,218.37,83.74,41.21
2016-08-18,218.86,84.25,41.14
2016-08-19,218.54,82.55,41.32
2016-08-22,218.53,82.27,41.22
2016-08-23,218.97,82.09,41.5
2016-08-24,217.85,81.78,41.07
2016-08-25,217.7,80.99,41.1
2016-08-26,217.29,79.51,41.26
2016-08-29,218.36,78.74,41.31
2016-08-29,218.36,78.74,41.31
2016-08-30,218.0,77.95,41.31
2016-08-31,217.38,76.43,41.22
2016-09-01,217.39,76.79,41.16
2016-09-02,218.37,77.42,41.25
2016-09-06,219.03,77.58,41.25
2016-09-07,219.01,79.51,41.25
2016-09-08,218.51,85.7,40.72
2016-09-09,213.28,83.44,40.03
2016-09-12,216.34,88.95,40.68
2016-09-13,213.23,87.16,40.18
2016-09-14,213.15,87.68,40.25
2016-09-15,215.28,89.2,40.86
2016-09-16,213.37,88.8,38.92
2016-09-19,213.41,88.19,39.23
2016-09-20,213.42,89.02,39.07
2016-09-21,215.82,88.96,39.51
2016-09-22,217.18,87.83,39.51
2016-09-23,215.99,90.5,39.23
2016-09-26,214.24,86.15,39.03
2016-09-27,215.57,86.14,39.3
2016-09-28,216.64,85.86,39.44
2016-09-29,214.68,87.31,39.12
2016-09-30,216.3,87.93,39.28
2016-10-03,215.78,87.0,38.99
2016-10-04,214.68,84.21,38.87
2016-10-05,215.63,85.98,39.15
2016-10-06,215.78,84.63,38.87
2016-10-07,215.04,84.39,38.71
2016-10-07,215.04,84.39,38.71
2016-10-10,216.16,86.9,38.62
2016-10-11,213.43,85.08,38.01
2016-10-12,213.71,86.53,38.05
2016-10-13,213.01,88.68,38.03
2016-10-14,213.12,90.09,38.41
2016-10-17,212.38,90.69,38.29
2016-10-18,213.71,92.01,38.42
2016-10-19,214.28,92.47,38.35
2016-10-20,213.88,93.51,38.09
2016-10-21,213.98,93.99,37.93
2016-10-24,214.89,93.6,38.27
2016-10-25,214.17,93.13,38.36
2016-10-26,213.74,90.11,38.31
2016-10-27,213.17,92.35,38.22
2016-10-28,212.54,92.56,38.17
2016-10-31,212.55,92.23,38.42
2016-11-01,211.01,90.03,38.46
2016-11-02,209.74,90.61,38.03
2016-11-03,208.78,89.34,38.31
2016-11-04,208.55,88.91,38.28
2016-11-07,213.15,88.91,39.09
2016-11-08,214.11,91.56,39.13
2016-11-09,216.38,93.17,39.55
2016-11-10,216.92,91.15,39.58
2016-11-11,216.42,85.23,39.45
2016-11-14,216.59,88.0,39.3
2016-11-15,218.28,88.99,39.17
2016-11-16,217.87,91.0,39.7
2016-11-17,218.99,91.5,40.25
2016-11-18,218.5,92.68,39.86
2016-11-21,220.15,92.92,39.89
2016-11-22,220.58,93.44,40.09
2016-11-23,220.7,91.53,40.1
2016-11-25,221.52,91.59,40.27
2016-11-28,220.48,87.72,40.3
2016-11-28,220.48,87.72,40.3
2016-11-29,220.91,88.82,40.55
2016-11-30,220.38,88.87,40.19
2016-12-01,219.57,88.09,38.7
2016-12-02,219.68,90.68,38.5
2016-12-05,221.0,91.57,38.97
2016-12-06,221.7,91.83,39.47
2016-12-07,224.6,91.5,40.32
