Date,Open,High,Low,Close,Adj Close,Volume
7-Dec-16,91.85,92.84,91.34,91.5,91.5,"477,220"
6-Dec-16,91.44,92.1,90.26,91.83,91.83,"584,900"
5-Dec-16,91.32,92.38,90.64,91.57,91.57,"420,200"
2-Dec-16,88.5,91.69,88.5,90.68,90.68,"377,500"
1-Dec-16,89.12,90.78,87.81,88.09,88.09,"338,300"
30-Nov-16,88.97,89.92,88.07,88.87,88.87,"452,100"
29-Nov-16,88.29,90.4,88.27,88.82,88.82,"572,400"
28-Nov-16,91.54,91.54,87.69,87.72,87.72,"725,900"
28-Nov-16,0.51 Dividend,,,,,
25-Nov-16,91.87,91.99,90.71,91.59,91.59,"154,100"
23-Nov-16,92.36,93.45,90.26,91.53,91.53,"264,600"
22-Nov-16,93.95,94.64,91.8,93.44,93.44,"246,200"
21-Nov-16,93.2,94.18,92.87,92.92,92.92,"409,200"
18-Nov-16,91.67,92.81,90.77,92.68,92.68,"273,100"
17-Nov-16,91.53,92.48,89.91,91.5,91.5,"304,000"
16-Nov-16,90.57,91.75,88.78,91,91,"678,200"
15-Nov-16,88.35,90.58,88,88.99,88.99,"519,000"
14-Nov-16,85.14,88.26,85.1,88,88,"668,000"
11-Nov-16,90.29,91.39,83.34,85.23,85.23,"977,600"
10-Nov-16,94.25,97,90.61,91.15,91.15,"1,340,900"
9-Nov-16,92,95.78,91,93.17,93.17,"1,150,600"
8-Nov-16,90.48,91.93,88.68,91.56,91.56,"687,200"
7-Nov-16,0,0,0,0,0,-
4-Nov-16,88.93,91.84,88.21,88.91,88.91,"434,500"
3-Nov-16,91.11,92.16,89.26,89.34,89.34,"363,100"
2-Nov-16,89.94,91.37,89.36,90.61,90.61,"383,300"
1-Nov-16,92.32,93.26,89.77,90.03,90.03,"548,400"
31-Oct-16,93.16,93.53,91.31,92.23,92.23,"439,700"
28-Oct-16,92.15,92.95,90.83,92.56,92.56,"396,300"
27-Oct-16,90.11,92.56,89.91,92.35,92.35,"529,000"
26-Oct-16,92,92.21,89.77,90.11,90.11,"696,200"
25-Oct-16,93.38,95,93,93.13,93.13,"450,900"
24-Oct-16,94.47,94.91,92.78,93.6,93.6,"375,900"
21-Oct-16,92.92,94.72,92.01,93.99,93.99,"314,500"
20-Oct-16,91.78,93.95,91.3,93.51,93.51,"362,100"
19-Oct-16,92.01,92.77,91.69,92.47,92.47,"434,800"
18-Oct-16,92,92.43,90.87,92.01,92.01,"387,800"
17-Oct-16,89.88,91.87,89.78,90.69,90.69,"594,900"
14-Oct-16,89.26,90.74,88.55,90.09,90.09,"531,900"
13-Oct-16,86.02,88.9,85.45,88.68,88.68,"487,300"
12-Oct-16,85.22,87.16,85.09,86.53,86.53,"399,100"
11-Oct-16,87.15,87.74,84.49,85.08,85.08,"291,400"
10-Oct-16,86.07,88.45,85.31,86.9,86.9,"346,400"
7-Oct-16,84.37,85.09,83.34,84.39,84.39,"360,900"
6-Oct-16,85.22,85.93,83.32,84.63,84.63,"357,500"
