Date,Open,High,Low,Close,Adj Close,Volume
7-Dec-16,39.5,40.37,39.49,40.32,40.32,"14,696,425"
6-Dec-16,39.01,39.48,38.88,39.47,39.47,"13,411,700"
5-Dec-16,38.6,39.11,38.54,38.97,38.97,"13,681,500"
2-Dec-16,38.46,38.83,37.64,38.5,38.5,"19,120,300"
1-Dec-16,40.11,40.18,38.46,38.7,38.7,"22,740,200"
30-Nov-16,40.66,40.7,40.19,40.19,40.19,"14,374,600"
29-Nov-16,40.34,40.74,40.13,40.55,40.55,"10,157,400"
28-Nov-16,40.13,40.53,40.05,40.3,40.3,"12,118,300"
25-Nov-16,40.04,40.35,40.04,40.27,40.27,"4,013,100"
23-Nov-16,40.05,40.1,39.84,40.1,40.1,"11,070,100"
22-Nov-16,40.09,40.12,39.81,40.09,40.09,"10,993,100"
21-Nov-16,39.97,40.03,39.67,39.89,39.89,"8,073,100"
18-Nov-16,40.28,40.49,39.67,39.86,39.86,"12,890,600"
17-Nov-16,39.8,40.29,39.67,40.25,40.25,"13,316,600"
16-Nov-16,39.1,39.8,38.92,39.7,39.7,"12,597,000"
15-Nov-16,38.89,39.22,38.68,39.17,39.17,"13,594,300"
14-Nov-16,39.39,39.67,39.11,39.3,39.3,"15,417,100"
11-Nov-16,39.54,39.81,39.18,39.45,39.45,"12,217,700"
10-Nov-16,39.65,40.06,39.3,39.58,39.58,"26,707,200"
9-Nov-16,38.56,39.74,38.39,39.55,39.55,"19,497,300"
8-Nov-16,39.16,39.35,38.98,39.13,39.13,"7,574,700"
7-Nov-16,38.73,39.15,38.72,39.09,39.09,"9,506,900"
4-Nov-16,38.31,38.58,38.17,38.28,38.28,"14,288,900"
3-Nov-16,37.99,38.38,37.99,38.31,38.31,"12,393,100"
2-Nov-16,38.46,38.49,37.98,38.03,38.03,"9,488,400"
1-Nov-16,38.58,38.58,38.23,38.46,38.46,"12,018,200"
31-Oct-16,38.31,38.51,38.2,38.42,38.42,"10,485,300"
28-Oct-16,38.3,38.45,38.03,38.17,38.17,"7,803,300"
27-Oct-16,38.41,38.56,38.15,38.22,38.22,"7,588,900"
26-Oct-16,38.15,38.64,38.15,38.31,38.31,"9,723,100"
25-Oct-16,38.27,38.43,38.1,38.36,38.36,"11,627,100"
24-Oct-16,38.12,38.42,38.12,38.27,38.27,"13,550,500"
21-Oct-16,37.99,38.12,37.77,37.93,37.93,"13,413,400"
20-Oct-16,38.12,38.35,38.01,38.09,38.09,"11,197,000"
19-Oct-16,38.52,38.64,38.31,38.35,38.35,"8,310,900"
18-Oct-16,38.6,38.69,38.36,38.42,38.42,"7,121,900"
17-Oct-16,38.54,38.54,38.21,38.29,38.29,"9,419,000"
14-Oct-16,38.26,38.59,38.19,38.41,38.41,"11,601,200"
13-Oct-16,37.86,38.19,37.62,38.03,38.03,"14,117,600"
12-Oct-16,37.93,38.15,37.64,38.05,38.05,"8,944,900"
11-Oct-16,38.56,38.65,37.81,38.01,38.01,"14,964,000"
10-Oct-16,38.86,39,38.59,38.62,38.62,"9,475,400"
7-Oct-16,38.84,39,38.61,38.71,38.71,"11,442,000"
7-Oct-16,0.15 Dividend,,,,,
6-Oct-16,39.11,39.24,38.63,38.87,38.87,"9,789,100"
5-Oct-16,39.11,39.34,38.89,39.15,39.15,"8,269,200"
4-Oct-16,39.04,39.2,38.76,38.87,38.87,"9,199,300"
3-Oct-16,39.2,39.26,38.86,38.99,38.99,"10,403,500"
30-Sep-16,39.25,39.44,39.09,39.28,39.28,"12,861,900"
29-Sep-16,39.25,39.62,39.08,39.12,39.12,"8,795,200"
28-Sep-16,39.23,39.5,39.16,39.44,39.44,"8,103,500"
27-Sep-16,38.9,39.49,38.86,39.3,39.3,"10,644,600"
26-Sep-16,39,39.1,38.76,39.03,39.03,"9,840,900"
23-Sep-16,39.39,39.42,39.03,39.23,39.23,"14,017,300"
22-Sep-16,39.68,39.8,39.48,39.51,39.51,"9,679,300"
21-Sep-16,39.19,39.58,39.19,39.51,39.51,"10,994,000"
20-Sep-16,39.55,39.6,39.06,39.07,39.07,"12,121,300"
19-Sep-16,39.13,39.55,39.05,39.23,39.23,"19,801,900"
16-Sep-16,39.61,39.95,38.71,38.92,38.92,"50,703,500"
15-Sep-16,40.18,41.03,40.09,40.86,40.86,"18,403,700"
14-Sep-16,40.02,40.56,40.02,40.25,40.25,"11,626,900"
