Date,Open,High,Low,Close,Adj Close,Volume
7-Dec-16,221.52,224.67,221.38,224.6,224.6,"110,774,849"
6-Dec-16,221.22,221.74,220.66,221.7,221.7,"57,526,300"
5-Dec-16,220.65,221.4,220.42,221,221,"67,837,800"
2-Dec-16,219.67,220.25,219.26,219.68,219.68,"74,840,300"
1-Dec-16,220.73,220.73,219.15,219.57,219.57,"79,040,500"
30-Nov-16,221.63,221.82,220.31,220.38,220.38,"113,291,800"
29-Nov-16,220.52,221.44,220.17,220.91,220.91,"69,886,700"
28-Nov-16,221.16,221.48,220.36,220.48,220.48,"76,572,500"
25-Nov-16,221.1,221.56,221.01,221.52,221.52,"37,872,300"
23-Nov-16,219.98,220.76,219.75,220.7,220.7,"56,620,200"
22-Nov-16,220.51,220.79,219.73,220.58,220.58,"67,429,000"
21-Nov-16,219.17,220.18,219,220.15,220.15,"72,402,600"
18-Nov-16,219.07,219.27,218.29,218.5,218.5,"86,265,800"
17-Nov-16,218.05,219.06,217.92,218.99,218.99,"69,797,200"
16-Nov-16,217.56,218.14,217.42,217.87,217.87,"65,617,700"
15-Nov-16,217.04,218.28,216.8,218.28,218.28,"91,652,600"
14-Nov-16,217.03,217.27,215.72,216.59,216.59,"94,580,000"
11-Nov-16,216.08,216.7,215.32,216.42,216.42,"100,552,700"
10-Nov-16,217.3,218.31,215.22,216.92,216.92,"172,113,300"
9-Nov-16,212.37,217.1,212.34,216.38,216.38,"258,429,000"
8-Nov-16,212.69,214.77,212.38,214.11,214.11,"106,772,100"
7-Nov-16,208.55,213.19,208.55,213.15,213.15,"109,794,900"
4-Nov-16,208.91,209.89,208.38,208.55,208.55,"109,122,100"
3-Nov-16,209.99,210.24,208.46,208.78,208.78,"88,939,300"
2-Nov-16,210.65,211.1,209.23,209.74,209.74,"103,330,800"
1-Nov-16,212.93,212.99,209.6,211.01,211.01,"122,781,800"
31-Oct-16,212.93,213.19,212.36,212.55,212.55,"61,272,500"
28-Oct-16,213.14,213.93,211.71,212.54,212.54,"140,623,200"
27-Oct-16,214.58,214.62,213.08,213.17,213.17,"77,220,200"
26-Oct-16,213.21,214.42,212.93,213.74,213.74,"75,705,500"
25-Oct-16,214.68,214.98,213.98,214.17,214.17,"66,542,300"
24-Oct-16,215,215.32,214.48,214.89,214.89,"60,146,600"
21-Oct-16,213.88,214.08,212.76,213.98,213.98,"89,089,100"
